ID,Gender,MaritalStatus,EducationLevel,Field,Experience,Happiness,TakeAdditionalCourse,Position,Sector,Age,SatisfiedMySalary,WagePolicyFairness,SatisfiedNonWageCompensation,SatisfiedMyWork,SatisfiedMyOrganization,ManagementAttitude,WageReward,ColleaguesAttitude,WorkingConditions,JobSecurity,FinancialPerformance,NonFinancialPerformance
22,Female,Married,Master,Health Care,11 - 15 Years,Yes,Yes,Mid-level manager,State,38,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,4.58,3.14,3.83,4.33,3.5,4.25,4.25
23,Female,Married,PhD,Health Care,16 - 20 Years,Yes,No,Mid-level manager,State,42,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,3.83,3.43,3.67,4,5,3.25,4
24,Male,Married,Master,Education,1 - 5 Years,No,No,Staff,State,26,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,3.92,3.14,3.83,3.83,4,2.75,2.75
25,Female,Married,Master,Health Care,16 - 20 Years,Yes,Yes,Expert,Private,42,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,2.5,2.71,2.67,3.17,3.5,2.5,3
26,Female,Married,Bachelor,Health Care,1 - 5 Years,Yes,No,Mid-level manager,State,29,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,4.75,4.29,4,5,5,3.75,4
27,Male,Married,PhD,Health Care,11 - 15 Years,No,No,Mid-level manager,Private,37,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Disagree,1.92,1.71,2,2.67,4,2,2
28,Male,Married,PhD,Health Care,11 - 15 Years,No,Yes,Expert,Private,36,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,2,1.29,3.5,1.33,4.5,2.75,3
29,Female,Married,Master,Education,6 - 10 Years,Yes,Yes,Expert,Private,31,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,4.42,3.29,3.33,4.67,4.5,2.75,3.25
30,Female,Married,PhD,Health Care,11 - 15 Years,Yes,Yes,Expert,Private,41,Disagree,Disagree,Strongly disagree,Agree,Agree,3,1.86,3,3.33,5,1,1.25
31,Female,Married,Bachelor,Health Care,11 - 15 Years,Yes,Yes,Mid-level manager,State,33,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,2.5,1.57,3.67,2.33,3.5,3.75,3.75
32,Female,Married,Bachelor,Health Care,11 - 15 Years,No,Yes,Staff,State,35,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Disagree,2.33,1.71,4.5,2.5,1.5,1,1.5
33,Female,Married,Master,Health Care,16 - 20 Years,No,No,Staff,State,44,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.25,1.57,1.5,3,2,3,3
34,Female,Married,Master,Finance,16 - 20 Years,Yes,Yes,Expert,Private,43,Disagree,Disagree,Strongly disagree,Disagree,Disagree,1.92,1.43,1,2.17,5,2,2
35,Female,Married,PhD,Health Care,11 - 15 Years,Yes,Yes,Expert,Private,36,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,1.58,2.86,3.67,2.67,1,1,1
36,Female,Married,Bachelor,Finance,6 - 10 Years,No,No,Staff,State,41,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,2.42,1.86,2.83,2.17,2.5,3,3
37,Male,Married,PhD,Education,21 + Years,Yes,Yes,Senior manager,Private,47,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4,4.71,3.83,4.83,3,5,5
38,Male,Married,Master,Finance,21 + Years,Yes,Yes,Mid-level manager,Private,51,Strongly agree,Agree,Agree,Agree,Agree,3.75,4.14,3.5,4.17,4,2.75,2.5
39,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,Yes,Expert,Private,25,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,5,5,5,5,5,5
40,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,Yes,Expert,Private,25,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,5,5,5,5,5,5
41,Male,Married,Bachelor,Finance,21 + Years,Yes,Yes,Senior manager,Private,48,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,4,3.29,4.17,4.5,4.5,4,4
42,Female,Married,PhD,Education,21 + Years,Yes,No,Mid-level manager,State,48,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,2.58,1.71,2.17,3.17,5,4,4
43,Female,Married,Master,Health Care,6 - 10 Years,No,No,Staff,State,32,Disagree,Strongly disagree,Agree,Disagree,Neither agree nor disagree,3.58,3.29,2,2.67,2,5,4.75
44,Female,Married,Master,Health Care,6 - 10 Years,No,No,Staff,State,32,Disagree,Strongly disagree,Agree,Disagree,Neither agree nor disagree,3.58,3.29,2,2.67,2,5,4.75
45,Male,Married,Bachelor,Finance,16 - 20 Years,Yes,Yes,Mid-level manager,Private,43,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,4.67,4.43,4.83,5,4.5,4.25,3.75
46,Male,Married,Bachelor,Finance,21 + Years,Yes,No,Mid-level manager,Private,48,Strongly agree,Agree,Strongly agree,Agree,Agree,4.17,4.29,3.67,3.83,4.5,3.25,3.5
47,Female,Married,Master,Education,16 - 20 Years,No,No,Expert,Private,35,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,1.92,1.86,2.83,2.17,5,1,1.75
48,Male,Married,Bachelor,Health Care,16 - 20 Years,Yes,Yes,Mid-level manager,Private,40,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,3.58,3.57,2.83,3.17,3.5,2.25,2.75
49,Female,Married,PhD,Education,6 - 10 Years,Yes,No,Staff,State,32,Agree,Agree,Agree,Agree,Strongly agree,4.58,3.71,3.17,3.5,5,4,4
50,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,No,Staff,State,24,Agree,Neither agree nor disagree,Disagree,Agree,Agree,3.67,3.29,4.17,4.33,4.5,3.75,3.5
51,Female,Married,PhD,Education,1 - 5 Years,No,No,Staff,State,29,Agree,Agree,Agree,Agree,Agree,4.25,4,3.67,3.83,4,3,2.75
52,Female,Married,Master,Health Care,6 - 10 Years,Yes,Yes,Staff,State,32,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,3.33,1.86,3.5,3.67,5,3,3
53,Male,Married,Bachelor,Production,21 + Years,Yes,Yes,Senior manager,Private,48,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,4.83,4,4.17,4.17,4,4,4.75
54,Female,Married,Bachelor,Health Care,1 - 5 Years,Yes,No,Mid-level manager,State,25,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,3.5,2.43,4,3,3,2,3.25
55,Male,Married,Bachelor,Education,1 - 5 Years,Yes,No,Staff,State,23,Agree,Agree,Neither agree nor disagree,Agree,Agree,3.08,3.71,3.67,3.67,2.5,3.75,4.25
56,Male,Married,Bachelor,Information Technology,21 + Years,Yes,Yes,Senior manager,Private,49,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,3.92,3.71,3.67,3.67,4.5,3.5,3.25
57,Male,Married,Master,Education,6 - 10 Years,Yes,No,Staff,State,32,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2.75,2.86,2.33,3.17,2.5,3,2.75
58,Male,Married,Master,Education,21 + Years,Yes,No,Expert,Private,45,Agree,Agree,Disagree,Agree,Disagree,2.33,2.43,2.5,2.5,1,2.5,2
59,Female,Married,Bachelor,Production,11 - 15 Years,No,Yes,Expert,Private,35,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,3,2.14,2.33,3,3,3.5,2.75
60,Male,Married,PhD,Education,6 - 10 Years,Yes,No,Staff,State,33,Agree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.25,2.29,2.5,2.33,1,2.75,2.25
61,Female,Married,Bachelor,Finance,6 - 10 Years,Yes,No,Operation manager,State,34,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.33,1.57,2.33,2.5,4,2.5,2.75
62,Male,Married,PhD,Education,1 - 5 Years,Yes,Yes,Expert,Private,27,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,3.83,4,3.17,4.17,2,3.25,3.75
63,Male,Married,Master,Finance,6 - 10 Years,Yes,No,Mid-level manager,Private,38,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,3.58,4,2.83,4.5,5,3.75,4.75
64,Male,Married,Bachelor,Education,11 - 15 Years,Yes,Yes,Mid-level manager,Private,39,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,4.75,4.71,5,5,5,3.5,3.5
65,Male,Married,Bachelor,Education,11 - 15 Years,Yes,Yes,Mid-level manager,Private,39,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,4.75,4.71,5,5,5,3.5,3.5
66,Female,Married,PhD,Health Care,16 - 20 Years,Yes,No,Mid-level manager,State,42,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,2.17,1.43,2,1.83,2.5,1.75,2.75
67,Female,Married,Bachelor,Health Care,11 - 15 Years,Yes,No,Mid-level manager,State,31,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,4.83,3.29,5,4.5,5,3.5,3.25
68,Male,Married,Bachelor,Finance,11 - 15 Years,Yes,Yes,Mid-level manager,Private,34,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1.08,1,1,1.17,1,1,1
69,Male,Married,Bachelor,Finance,11 - 15 Years,No,Yes,Mid-level manager,Private,34,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.92,4.86,5,5,5,4.25,4.5
70,Male,Single,Bachelor,Finance,1 - 5 Years,No,Yes,Operation manager,State,25,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,4.17,4.29,3,4.83,5,4.5,4.75
71,Male,Married,Master,Finance,1 - 5 Years,Yes,Yes,Expert,Private,31,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,2,1.86,2,4.33,2,4,3.25
72,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,No,Staff,State,23,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.67,4.71,4.5,4.83,4,4.75,4.75
73,Male,Married,Bachelor,Finance,6 - 10 Years,Yes,Yes,Expert,Private,31,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,4.92,4.86,5,5,5,5,4.75
74,Male,Married,Bachelor,Finance,11 - 15 Years,Yes,Yes,Staff,State,30,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,4.67,3.86,4.83,4.83,5,5,4.75
75,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,No,Staff,State,24,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,5,5,5,5,4.5,5
76,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,Yes,Expert,Private,29,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,4.67,3.71,4.83,4.67,4.5,4.25,4
77,Female,Married,Master,Health Care,6 - 10 Years,Yes,Yes,Mid-level manager,State,32,Disagree,Disagree,Strongly disagree,Agree,Agree,3.75,2.71,4,3.83,3.5,3.5,4
78,Female,Married,Master,Health Care,1 - 5 Years,Yes,No,Staff,State,25,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,1.67,1.57,2.67,2.5,1,1.25,1.75
79,Female,Married,Bachelor,Finance,1 - 5 Years,Yes,No,Staff,State,23,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,4.25,3.57,4,4.17,3.5,4,4
80,Female,Married,PhD,Health Care,6 - 10 Years,Yes,No,Expert,Private,31,Disagree,Neither agree nor disagree,Agree,Agree,Agree,2.75,2.86,3,2.67,5,1,1
81,Male,Married,Bachelor,Finance,11 - 15 Years,Yes,No,Staff,State,31,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,4.58,2.57,4.67,4,4,4,4.25
82,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,Yes,Operation manager,State,34,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,3.25,2,4.17,3.67,3.5,4,4
83,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,No,Staff,State,24,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.75,4.71,4.33,5,4,4.5,5
84,Male,Married,Bachelor,Finance,6 - 10 Years,No,No,Staff,State,28,Neither agree nor disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,4.42,3.43,4.83,4.33,5,3.5,5
85,Female,Married,Bachelor,Finance,6 - 10 Years,Yes,No,Staff,State,22,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,3.83,2.57,4.83,4,3.5,4,4
86,Male,Married,Bachelor,Information Technology,1 - 5 Years,Yes,Yes,Operation manager,State,32,Agree,Agree,Agree,Strongly agree,Strongly agree,4.42,4.29,4.17,4.67,5,3.75,3.75
87,Female,Married,Bachelor,Finance,1 - 5 Years,Yes,No,Staff,State,35,Neither agree nor disagree,Agree,Disagree,Strongly agree,Strongly agree,3.92,3.14,3.5,4.5,4.5,3.5,3.25
88,Female,Married,Bachelor,Finance,6 - 10 Years,Yes,No,Staff,State,31,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,3.92,2.43,4.17,3.67,3.5,4.25,4.25
89,Female,Married,Bachelor,Finance,6 - 10 Years,No,No,Staff,State,27,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,3.58,1.86,4,3.5,3,4,3.75
90,Female,Married,Bachelor,Finance,6 - 10 Years,Yes,Yes,Staff,State,27,Agree,Agree,Agree,Strongly agree,Strongly agree,4.75,4.29,4.67,4.83,5,5,5
91,Male,Married,Bachelor,Finance,11 - 15 Years,Yes,Yes,Expert,Private,30,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,5,5,5,5,5,5
92,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,No,Staff,State,24,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.75,2.86,4,3.5,3.5,4,4
93,Male,Married,Bachelor,Finance,16 - 20 Years,Yes,Yes,Staff,State,37,Agree,Agree,Disagree,Agree,Agree,3.92,3.57,4.5,3.83,3.5,4.75,4.75
94,Female,Married,Bachelor,Finance,1 - 5 Years,Yes,No,Staff,State,28,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Agree,3.42,2.43,2.17,3.67,2.5,4.75,4.25
95,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,Yes,Staff,State,25,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,4.75,4,5,4.67,2,4.75,4.25
96,Male,Married,Bachelor,Finance,16 - 20 Years,Yes,Yes,Operation manager,State,39,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,4.75,4.71,5,5,5,4.75,4.5
97,Female,Married,Master,Health Care,16 - 20 Years,Yes,Yes,Senior manager,Private,38,Agree,Neither agree nor disagree,Disagree,Agree,Agree,3.75,2.86,4,4.17,4,3.5,3
98,Female,Married,Master,Health Care,11 - 15 Years,No,Yes,Mid-level manager,State,33,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,4,2.71,4,4,3,4,4
99,Male,Married,Bachelor,Finance,11 - 15 Years,Yes,No,Expert,Private,36,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,3.83,4.86,3.67,3.83,5,5,5
100,Male,Married,Bachelor,Finance,6 - 10 Years,No,No,Expert,Private,32,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Strongly agree,4.17,3.14,4,4.5,4.5,3.75,4
101,Male,Married,PhD,Education,11 - 15 Years,Yes,No,Expert,Private,38,Agree,Agree,Agree,Agree,Agree,3.75,3.86,4,4,2.5,2.5,3.25
102,Female,Married,Bachelor,Health Care,6 - 10 Years,Yes,No,Mid-level manager,State,32,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.17,2.29,2.67,2.67,2.5,3.25,3
103,Female,Married,Bachelor,Health Care,6 - 10 Years,No,Yes,Mid-level manager,State,30,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,3.5,2.14,3.67,3.5,4,2.5,2
104,Male,Married,Bachelor,Finance,6 - 10 Years,Yes,Yes,Expert,Private,34,Agree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,3.92,3.43,3.83,4.17,4,4.5,4.25
105,Male,Married,Master,Finance,6 - 10 Years,No,Yes,Mid-level manager,Private,31,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,3.5,2.57,3.17,3.17,3,2,2.25
106,Female,Married,Master,Finance,6 - 10 Years,Yes,Yes,Expert,Private,30,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,2.42,2.86,3.17,3.5,3,3.5,3
107,Female,Married,Master,Health Care,21 + Years,Yes,Yes,Expert,Private,49,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.33,1.57,3.5,3.17,4,2.5,2
108,Male,Married,Bachelor,Education,16 - 20 Years,Yes,No,Staff,State,41,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,4.42,4.29,4.5,4.83,4.5,3.5,3.75
109,Male,Married,Master,Education,11 - 15 Years,Yes,Yes,Mid-level manager,Private,34,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,3.75,3.71,4.5,4.33,4.5,3.25,4.25
110,Male,Married,Master,Finance,11 - 15 Years,Yes,Yes,Staff,State,37,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,1.33,1.29,1,2.67,5,1,1
111,Male,Married,Bachelor,Education,1 - 5 Years,No,No,Staff,State,27,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,3.5,1.43,3.83,3.17,4,3.25,3.25
112,Female,Married,Bachelor,Information Technology,1 - 5 Years,Yes,No,Staff,State,25,Agree,Agree,Agree,Strongly agree,Strongly agree,4.92,4.29,4.67,5,4.5,4.25,5
113,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,Yes,Staff,State,26,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,4.08,3.29,4.33,4.5,4.5,4.5,4.5
114,Male,Married,Bachelor,Education,6 - 10 Years,Yes,No,Staff,State,30,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.75,1.86,3.67,2.83,4.5,3.25,3.25
115,Female,Married,Master,Finance,1 - 5 Years,Yes,No,Staff,State,25,Agree,Agree,Agree,Agree,Agree,4.25,4,4.17,4.17,4.5,4.75,4.25
116,Female,Married,Master,Education,1 - 5 Years,Yes,Yes,Staff,State,25,Agree,Agree,Neither agree nor disagree,Agree,Agree,4.17,3.86,3.67,4.17,5,3.75,4
117,Female,Married,PhD,Education,6 - 10 Years,Yes,Yes,Mid-level manager,State,35,Agree,Agree,Agree,Agree,Agree,4.17,3.43,4,3.67,4,3.75,4
118,Male,Married,Bachelor,Finance,1 - 5 Years,No,No,Mid-level manager,Private,23,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,4.08,4,3.67,4.17,5,5,5
119,Female,Married,Master,Education,1 - 5 Years,Yes,Yes,Expert,Private,33,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,3.17,3.14,3.67,3.83,4,3.75,3.75
120,Male,Married,PhD,Education,11 - 15 Years,Yes,No,Staff,State,40,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,3.42,3.14,3.33,3.83,4,3.25,3.75
121,Female,Married,PhD,Education,21 + Years,Yes,Yes,Staff,State,53,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,4.5,2.57,3.83,4.5,4,3.25,4
122,Male,Married,PhD,Education,16 - 20 Years,Yes,No,Mid-level manager,Private,40,Agree,Agree,Neither agree nor disagree,Agree,Agree,3.58,2.86,2.5,3.67,4.5,3,3.75
123,Male,Married,Master,Education,1 - 5 Years,Yes,No,Expert,Private,28,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.83,2,3.83,3.33,4,1.5,1.25
124,Male,Married,Master,Education,21 + Years,Yes,Yes,Senior manager,Private,59,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,3.83,3.29,4.5,3.67,1,3.75,3.75
125,Male,Married,PhD,Education,11 - 15 Years,Yes,No,Mid-level manager,Private,38,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Agree,4.08,2.71,4,4.33,5,1.75,4.75
126,Male,Married,PhD,Education,16 - 20 Years,Yes,No,Senior manager,Private,43,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.58,4.14,4.67,5,5,3,4.5
127,Male,Married,PhD,Education,6 - 10 Years,Yes,No,Expert,Private,32,Agree,Disagree,Disagree,Strongly agree,Agree,4.25,3,3,4.67,5,4.75,4.25
128,Male,Married,Master,Finance,6 - 10 Years,No,Yes,Expert,Private,30,Disagree,Disagree,Disagree,Agree,Strongly agree,2.83,2.29,2.5,4,5,2.25,3
129,Male,Married,Bachelor,Finance,6 - 10 Years,No,Yes,Mid-level manager,Private,36,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,4.25,3.57,4.5,4.17,4.5,4,4
130,Male,Married,Master,Production,1 - 5 Years,Yes,No,Senior manager,Private,33,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.83,2.14,3.67,3.17,4.5,1,1.25
131,Male,Married,PhD,Finance,11 - 15 Years,Yes,No,Expert,Private,35,Agree,Agree,Strongly disagree,Neither agree nor disagree,Agree,3.08,2.86,3.83,3.67,4.5,3.25,4
132,Male,Married,PhD,Finance,21 + Years,No,Yes,Expert,Private,49,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,1,2.29,1.83,1.83,3.5,2.5,1
133,Male,Married,Master,Finance,6 - 10 Years,No,Yes,Expert,Private,35,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,3.08,2.71,2.83,2.83,5,4,4
134,Female,Married,Master,Finance,1 - 5 Years,Yes,Yes,Expert,Private,30,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,4.25,2.43,3.17,3.33,3.5,4.5,4.75
135,Male,Married,Master,Finance,1 - 5 Years,Yes,Yes,Senior manager,Private,27,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,4.92,4.71,4.5,5,5,5,5
136,Female,Married,Master,Production,6 - 10 Years,Yes,Yes,Staff,State,30,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,2.92,2.43,1.83,3.17,4.5,4,3.75
137,Male,Married,Bachelor,Education,1 - 5 Years,No,No,Staff,State,26,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,1.33,1,2,2,1.5,1,1
